,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
1727,2100 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Ekta California, NIBM Road ",6 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 1.45 Cr,,Resale
1728,949 sqft,super area,,"    3 BHK Apartment  for Sale in Vivanta life Vishakha, Dhanori ",,Unfurnished,Possession by Nov '19,Builder,Yashada Realty,"Feb 19, '18", 80.8 Lac, 8514,New Property
1729,950 sqft,super area,,"    3 BHK Apartment  for Sale in Vivanta life Vishakha, Dhanori ",,Unfurnished,Possession by Nov '19,Builder,Yashada Realty,"Feb 19, '18", 80.8 Lac, 8505,New Property
1730,1250 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Oxford Village Premium Condominium, Wanwadi ",11 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.30 Cr,,Resale
1731,5050 sqft,plot area,,"    Plot/Land  for Sale in Clover Hills, Kondhwa ",1,, 70 X 72.14 Sqft,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 3.85 Cr, 7624,Resale
1732,424 sqft,carpet area,1 Open,"    1 BHK Apartment  for Sale in Pyramid County, Bhukum ",2 out of 15 floors,Unfurnished,Possession by Dec '18,Builder,Prasad Life Space LLP,"Feb 09, '18", 24.6 Lac,,New Property
1733,4415 sqft,plot area,,"    Plot/Land  for Sale in Purple Cloud 9, NIBM Road ",2,,Freehold,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 2 Cr, 4530,Resale
1734,1400 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Oxford Village, Wanawari ",3 out of 5 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.45 Cr,,Resale
1735,1400 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Oxford Village, Wanawari ",3 out of 5 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.45 Cr,,Resale
1736,1400 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Konark Indrayu, NIBM Annexe ",1 out of 7 floors,Semi-Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 1.05 Cr,,Resale
1737,1200 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Project Clover Village, Kedari Nagar, Wanawari ",1 out of 6 floors,Semi-Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 1.12 Cr,,Resale
1738,1015 sqft,carpet area,1 Covered,    2 BHK Apartment  for Sale in Baner ,2 out of 10 floors,Unfurnished,Ready to Move,Builder,Abhilasha Developers,"Mar 07, '18", 93.5 Lac,,New Property
1739,3821 sqft,carpet area,,"    4 BHK Apartment  for Sale in Marvel Isola, NIBM Road ",10 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 3 Cr,,Resale
1740,1500 sqft,carpet area,,"    3 BHK Apartment  for Sale in Dorabjee Enclave, Salunkhe Vihar, Mohammed Wadi ",3 out of 6 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 1 Cr,,Resale
1741,4000 sqft,carpet area,2 Covered,"    4 BHK Villa  for Sale in Purple Cloud 9, NIBM Road ",,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 3.55 Cr,,Resale
1742,1328 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Ganga Carnation, Mundhwa ",2 out of 9 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Mar 06, '18", 1.62 Cr,,Resale
1743,965 sqft,carpet area,,"    3 BHK Apartment  for Sale in The Latitude, NIBM Road ",5 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 97 Lac,,Resale
1744,1420 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Clover Highlands, Kondhwa ",2 out of 7 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 1.60 Cr,,Resale
1745,911 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",5 out of 12 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 89 Lac,,Resale
1746,2200 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Nyati Wind Chimes, NIBM Road ",6 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 1.55 Cr,,Resale
1747,4100 sqft,carpet area,3 Covered,"    5 BHK Apartment  for Sale in Adimaa, Boat Club Road ",5 out of 6 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 09, '18", 8.35 Cr,,New Property
1748,1310 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Nirvana Zen, Viman Nagar ",5 out of 5 floors,Unfurnished,Possession by Aug '18,Builder,Nirvana Developers,"Jan 29, '18", 1.70 Cr,,New Property
1749,900 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Project Clover Village, Wanawari ",2 out of 4 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 85 Lac,,Resale
1750,900 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Project Clover Village, Wanawari ",2 out of 4 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 85 Lac,,Resale
1751,900 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Project Clover Village, Wanawari ",2 out of 4 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 85 Lac,,Resale
1752,4350 sqft,carpet area,1 Covered,"    7 BHK Villa  for Sale in Clover Hills, Kondhwa ",,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 6.35 Cr,,Resale
1753,1250 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Oxford Village Premium Condominium, Wanwadi ",11 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 1.40 Cr,,Resale
1754,1404 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Nine Hills, NIBM Road ",10 out of 14 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 1.30 Cr,,Resale
1755,5025 sqft,plot area,,"    Plot/Land  for Sale in Clover Hills, Kondhwa ",2,,Freehold,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 4 Cr, 7960,Resale
1756,3012 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in K Raheja Vista Premiere Maxima , NIBM Annexe ",4 out of 18 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 2.10 Cr,,Resale
1757,911 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",5 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 89 Lac,,Resale
1758,1100 sqft,carpet area,,"    2 BHK Apartment  for Sale in DSK Garden Enclave, NIBM Road ",5 out of 9 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Jan 19, '18", 65 Lac,,Resale
1759,4000 sqft,carpet area,2 Covered,"    4 BHK Villa  for Sale in Purple Cloud 9, NIBM Road ",,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 3.55 Cr,,Resale
1760,938 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",6 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 86 Lac,,Resale
1761,1293 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Nirvana Zen, Viman Nagar ",2 out of 5 floors,Unfurnished,Possession by Aug '18,Builder,Nirvana Developers,"Jan 29, '18", 1.67 Cr,,New Property
1762,1575 sqft,carpet area,2 Covered,"    4 BHK Villa  for Sale in Pyramid County, Bhukum ",,Unfurnished,Possession by Dec '18,Builder,Prasad Life Space LLP,"Jan 30, '18", 1.20 Cr,,New Property
1763,1100 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Project Clover Village, Wanawari ",2 out of 6 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 85 Lac,,Resale
1764,1200 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Project Clover Village, Kedari Nagar, Wanawari ",1 out of 6 floors,Semi-Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 09, '18", 1.08 Cr,,Resale
