,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
11053,775 sqft,carpet area,,"    2 BHK Flat  , Pisoli Pune ",3 out of 12 floors,Unfurnished,Possession by Mar '20,Agent,Ideal Property,"Mar 03, '18", 26.5 Lac,,New Property
11054,861 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Atul Western Hills Phase 2, in Mohan Nagar Co-op Society, Baner Pune ",2 out of 12 floors,Unfurnished,Possession by Dec '19,Certified Agent,Corazon Homes,"Mar 02, '18", 65 Lac,,New Property
11055,720 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Raviraj Astria, in Kondhwa Pune ",4 out of 6 floors,Unfurnished,Ready to Move,Agent,Luckee Properties,"Feb 28, '18", 42 Lac,,Resale
11056,1100 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Marvel Cascada, in Balewadi Pune ",10 out of 14 floors,Semi-Furnished,Ready to Move,Agent,RDCL,"Jan 30, '18", 1.08 Cr,,Resale
11057,1100 sqft,super area,1 Covered,"    2 BHK Flat  for sale Nyati Meadows, in Kalyani Nagar Pune ",1 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,AB Enterprises,"Jan 31, '18", 90 Lac, 8182,New Property
11058,800 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Raheja Gardens, in Wanawari Pune ",2 out of 5 floors,Unfurnished,Ready to Move,Agent,Luckee Properties,"Mar 02, '18", 54 Lac,,Resale
11059,900 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Bella Casa, in Baner road Pune ",8 out of 8 floors,Unfurnished,Ready to Move,Agent,Home Finder Realty,"Mar 08, '18", 65 Lac,,Resale
11060,1150 sqft,super area,1 Open,"    2 BHK Flat  for sale Ganga Satellite, in Wanawari Pune ",2 out of 8 floors,Unfurnished,Ready to Move,Agent,Asset Properties,"Feb 09, '18", 82 Lac, 7130,Resale
11061,720 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Rohan Madhuban, in Bavdhan Pune ",10 out of 12 floors,Unfurnished,Possession by Oct '19,Agent,PFSP,"Feb 16, '18", 62.8 Lac,,New Property
11062,800 sqft,super area,1 Covered,"    2 BHK Flat  , Bibwewadi Pune ",4 out of 6 floors,Semi-Furnished,Ready to Move,Agent,Dreamtech Properties,"Feb 15, '18", 52 Lac, 6500,Resale
11063,883 sqft,carpet area,,"    2 BHK Flat  for sale Aloma County Aundh, in Aundh Pune ",9 out of 12 floors,Unfurnished,Ready to Move,Agent,Swami Property,"Feb 21, '18", 1.15 Cr,,Resale
11064,1188 sqft,super area,1 Covered,"    2 BHK Flat  for sale F Residences, in Kalyani Nagar Pune ",14 out of 22 floors,Unfurnished,Ready to Move,Certified Agent,Hot Deals,"Mar 16, '18", 87.5 Lac, 7365,New Property
11065,790 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Euphoria, in Kondhwa Pune ",4 out of 12 floors,Unfurnished,Ready to Move,Agent,Luckee Properties,"Feb 28, '18", 38 Lac,,Resale
11066,800 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Sai Vatika, in Madhav Nagar, Dhanori Pune ",3 out of 11 floors,Unfurnished,Ready to Move,Agent,KP Properties,"Feb 19, '18", 65 Lac,,Resale
11067,686 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Trident Towers , in Hinjewadi Pune ",9 out of 23 floors,Unfurnished,Possession by Dec '20,Certified Agent,propline.in,"Mar 05, '18", 60 Lac,,New Property
11068,825 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Courtyard One, in Wakad, Pimpri Chinchwad Pune ",,Unfurnished,New Property,Builder,Vishal,"Mar 09, '18", 74 Lac,,New Property
11069,622 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Pebbles Urbania, in Bavdhan Pune ",5 out of 14 floors,Unfurnished,Possession by Dec '19,Agent,PFSP,"Feb 27, '18", 53.7 Lac,,New Property
11070,850 sqft,super area,,"    2 BHK Flat  for sale Amanora Trendy Homes, in Hadapsar Pune ",6 out of 22 floors,Unfurnished,Ready to Move,Agent,Sanskruti Properties,"Mar 01, '18", 62 Lac, 7294,New Property
11071,665 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Rohan Madhuban, in Bavdhan Pune ",5 out of 12 floors,Unfurnished,Possession by Mar '19,Agent,Our Property Advisor,"Mar 13, '18", 72 Lac,,New Property
11072,800 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Godrej Horizon, in NIBM Annexe Pune ",1 out of 6 floors,Unfurnished,Ready to Move,Agent,Luckee Properties,"Mar 03, '18", 58 Lac,,Resale
11073,1068 sqft,carpet area,1 Covered,"    2 BHK Flat  , Kharadi Pune ",2 out of 9 floors,Unfurnished,Ready to Move,Agent,Prop Deals,"Mar 05, '18", 70 Lac,,Resale
11074,900 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Eisha Empire, in Hadapsar Pune ",6 out of 11 floors,Unfurnished,Ready to Move,Agent,Matoshree Properties,"Feb 11, '18", 43.5 Lac,,Resale
11075,1150 sqft,super area,,"    2 BHK Flat  for sale Kalpataru Harmony, in Wakad, Pimpri Chinchwad Pune ",12 out of 12 floors,Unfurnished,Ready to Move,Agent,Dream Scapers Developers ,"Feb 25, '18", 73 Lac, 6348,Resale
11076,750 sqft,carpet area,1 Covered,"    2 BHK Flat  , Kothrud Pune ",6 out of 6 floors,Semi-Furnished,Ready to Move,Agent,Pride Finance & Real Estate,"Feb 12, '18", 87 Lac,,Resale
11077,1080 sqft,super area,2 Covered,"    2 BHK Flat  for sale Supreme Palms, in Balewadi Gaon, Balewadi Pune ",5 out of 11 floors,Unfurnished,Ready to Move,Agent,Yash Properties,"Feb 20, '18", 78 Lac, 7222,Resale
11078,1150 sqft,carpet area,1 Covered,"    2 BHK Flat  , Keshav Nagar, Mundhwa Pune ",5 out of 8 floors,Unfurnished,Ready to Move,Agent,Prop Deals,"Mar 13, '18", 62 Lac,,Resale
11079,700 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Green City, in Hadapsar Pune ",8 out of 11 floors,Unfurnished,Ready to Move,Agent,Shree Sadguru Real Estate,"Feb 06, '18", 44 Lac,,Resale
