,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
85,58.2 K,150.50,151.10,166.20,-,"205,407","199,901","184,158","199,383",150.10,151.55,166.60,"1,404,365","880,303","860,320","588,145",87%,6%,87% buying,7%,Action Construction Equipment Ltd.,ENGINEERING - HEAVY
86,-,9.00,8.97,9.00,-,"11,500","22,966","37,492","26,086",,,,,,,,,,,,Action Financial Services (India) Ltd.,FINANCE - INVESTMENTS
87,,,,,,,,,,,,,,,,,,,,,Acumen Trading & Investments Ltd.,FINANCE - INVESTMENTS
88,30,42.95,38.50,39.00,821,"1,595","2,414","1,819","2,639",,,,,,,,,,,,Ad Manum Finance Ltd.,FINANCE - LEASING & HIRE PURCHASE
89,,,,,,,,,,,,,,,,,,,,,Adam Comsof Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
90,2391,199.00,199.40,198.05,22.39 K,"718,099","1,083,707","975,737","1,315,788",198.00,199.70,198.90,"5,740,115","8,248,608","8,495,778","9,410,273",64%,,,36%,Adani Enterprises Ltd.,TRADING
91,3844,435.00,433.75,437.70,7883,"394,572","310,123","242,975","360,635",434.00,433.45,438.05,"7,092,514","4,422,477","4,149,354","5,403,254",60%,9%,60% buying,31%,Adani Ports and Special Economic Zone Ltd.,INFRASTRUCTURE - GENERAL
92,44.59 K,38.70,38.00,37.55,51.45 K,"2,111,797","3,055,908","2,680,401","3,443,281",38.10,38.05,37.60,"21,712,302","18,511,588","21,145,994","21,615,288",60%,2%,60% buying,38%,Adani Power Ltd.,POWER - GENERATION & DISTRIBUTION
93,952,225.20,227.85,226.15,2395,"218,191","143,157","142,846","200,155",225.10,228.35,227.30,"868,153","1,187,316","1,311,959","1,396,035",89%,,,,Adani Transmission Ltd.,POWER - TRANSMISSION & EQUIPMENT
94,,,,,,,,,,,,,,,,,,,,,Adarsh Chemicals and Fertilisers Ltd.,FERTILISERS
95,,,,,,,,,,,,,,,,,,,,,Adarsh Mercantile Ltd.,MISCELLANEOUS
