,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
254,22.41 K,76.40,76.35,76.25,22.63 K,"62,034","56,276","55,635","76,258",77.25,76.50,76.15,"421,849","474,419","446,687","638,284",,,,,Jammu and Kashmir Bank Ltd.,BANKS - PRIVATE SECTOR
255,5116,441.80,440.70,433.50,1074,"4,690","13,100","11,960","7,057",442.00,443.35,433.65,"104,130","90,306","93,409","120,342",,,,,JK Lakshmi Cement Ltd.,CEMENT - MAJOR
256,9072,178.35,176.15,179.50,20.22 K,"391,585","547,642","318,877","522,458",176.00,175.35,179.70,"2,128,221","3,307,072","1,999,903","3,042,615",100%,,,,JK Tyre and Industries Ltd.,TYRES
257,13.48 K,160.90,159.15,166.90,20.06 K,"306,515","231,747","209,437","253,809",160.60,159.55,166.95,"3,063,727","1,186,570","1,108,681","1,114,395",100%,,,,JM Financial Ltd.,FINANCE - INVESTMENTS
258,55,2626.45,2635.85,2681.55,112,391,520,641,390,2671.55,2653.75,2687.85,"7,664","10,142","8,815","10,912",,,,,Johnson Controls -Hitachi Air Conditioning India Ltd.,CONSUMER GOODS - WHITE GOODS
259,34.04 K,89.40,89.40,91.65,10.18 K,"5,851,155","1,241,801","1,302,624","1,308,194",89.50,89.30,91.70,"6,267,547","9,281,912","9,535,184","9,871,303",100%,,,,JSW Energy Ltd.,POWER - GENERATION & DISTRIBUTION
260,5476,280.00,279.15,282.25,5548,"162,513","380,433","257,827","190,290",281.10,279.80,282.10,"3,291,487","4,133,085","3,137,818","4,706,193",50%,50%,50% selling,50%,JSW Steel Ltd.,STEEL - LARGE
261,4191,1950.00,1941.55,2091.55,273,"324,639","55,033","44,359","71,283",1949.95,1943.35,2093.30,"5,277,319","731,519","674,872","765,877",60%,10%,60% buying,30%,Jubilant Foodworks Ltd.,MISCELLANEOUS
262,3916,903.00,899.75,879.30,3079,"228,613","210,722","102,048","350,699",900.00,898.60,879.95,"1,666,503","1,644,913","826,309","2,674,935",75%,,,25%,Jubilant Life Sciences Ltd.,PHARMACEUTICALS
263,9524,565.00,558.05,555.20,3605,"1,549,541","563,483","331,793","654,167",565.00,557.65,556.65,"8,823,865","5,157,815","3,215,955","5,916,350",50%,,,50%,Just Dial Ltd.,MISCELLANEOUS
264,3302,375.05,374.65,375.55,1014,"7,895","59,622","29,905","24,629",378.00,375.70,375.45,"610,573","252,265","192,888","340,428",100%,,,,Jyothy Laboratories Ltd.,PERSONAL CARE
265,1064,714.25,718.25,715.70,1421,"9,055","19,135","16,815","10,620",711.15,717.55,717.30,"130,032","216,437","248,737","114,448",50%,,,50%,Kajaria Ceramics Ltd.,CERAMICS & GRANITE
266,3421,470.15,471.50,466.60,796,"79,358","22,786","16,799","28,036",471.15,471.30,468.25,"70,249","127,825","131,568","107,607",,,,,Kalpataru Power Transmission Ltd.,POWER - TRANSMISSION & EQUIPMENT
267,1089,544.00,542.95,527.60,1545,"24,869","6,847","18,694","6,840",547.95,543.25,526.75,"217,345","135,070","184,863","176,045",,,,,Kansai Nerolac Paints Ltd.,PAINTS & VARNISHES
268,14.02 K,159.00,158.00,158.70,33.51 K,"323,448","618,319","345,277","929,415",158.50,158.00,158.85,"3,649,719","6,431,335","3,173,967","9,463,867",75%,,,25%,Karnataka Bank Ltd.,BANKS - PRIVATE SECTOR
269,746,510.80,511.95,510.30,629,"40,403","58,548","39,626","55,059",510.30,510.50,510.60,"247,074","439,953","465,265","399,997",100%,,,,Kaveri Seed Company Ltd.,MISCELLANEOUS
270,3822,369.00,362.65,359.90,3284,"68,051","214,656","167,163","155,163",364.00,362.05,359.80,"415,606","571,668","839,475","509,588",100%,,,,KEC International Ltd.,POWER - TRANSMISSION & EQUIPMENT
271,16.59 K,149.45,149.55,146.15,20.36 K,"116,984","474,078","256,753","217,778",150.00,149.45,145.75,"763,922","2,991,470","1,620,207","1,208,256",100%,,,,Kesoram Industries Ltd.,DIVERSIFIED
272,2,380.00,381.45,391.70,970,"24,887","3,079","8,766","2,768",382.00,378.75,391.70,"102,325","30,735","47,255","44,918",,,,,Kirloskar Oil Engines Ltd.,ENGINES
273,1208,297.40,297.70,297.95,1399,"7,390","12,268","11,717","7,198",298.70,298.50,298.20,"35,987","141,829","109,259","80,626",,,,,Kitex Garments Ltd.,TEXTILES - READYMADE APPARELS
274,2073,1053.00,1045.40,1059.95,3304,"127,586","145,944","372,081","240,655",1052.70,1046.50,1060.55,"4,304,314","2,016,667","1,882,372","2,448,407",50%,,,50%,Kotak Mahindra Bank Ltd.,BANKS - PRIVATE SECTOR
275,4470,191.85,192.50,196.45,6763,"156,422","289,173","214,828","262,543",191.65,192.30,196.65,"1,383,995","2,616,378","2,172,186","2,444,839",67%,,,,KPIT Technologies Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
276,1682,804.00,786.55,810.90,833,"3,200","2,322","10,381","1,983",799.00,791.35,811.35,"33,216","26,548","39,784","12,178",,,,,KPR Mill Ltd.,TEXTILES - READYMADE APPARELS
277,2193,613.70,613.25,628.50,1384,"25,232","9,608","7,314","5,588",616.90,613.70,629.65,"356,030","181,564","111,397","70,797",100%,,,,KRBL Ltd.,FOOD PROCESSING
278,21.85 K,103.50,102.50,100.80,13.25 K,"328,703","232,553","310,540","193,231",103.85,102.70,100.95,"1,370,251","1,135,222","1,508,958","1,017,850",60%,,,40%,Kwality Ltd.,FOOD PROCESSING
279,13.8 K,170.50,171.35,172.20,13.75 K,"275,828","432,603","447,226","372,161",172.00,171.10,172.25,"2,484,342","5,227,936","4,922,565","4,959,738",60%,,,40%,L&T; Finance Holdings Ltd.,FINANCE - INVESTMENTS
280,421,1106.40,1089.85,1119.00,5697,"6,139","27,260","18,606","8,804",1099.00,1091.10,1118.40,"184,208","44,094","66,037","33,339",,,,,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE
281,1391,990.05,989.35,993.90,436,"2,090","4,160","5,250","5,516",999.60,983.85,996.80,"18,697","27,938","36,171","36,789",,,,,L&T; Technology Services Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
282,828,646.50,644.10,664.65,1270,"15,235","16,535","7,174","28,743",642.00,640.40,664.60,"84,612","105,290","50,080","200,466",,,,,La Opala RG Ltd.,GLASS & GLASS PRODUCTS
283,402,6012.00,6070.45,6105.80,267,539,"3,806","1,827","1,473",6080.00,6081.35,6116.90,"2,141","10,608","5,755","4,583",,,,,Lakshmi Machine Works Ltd.,TEXTILES - MACHINERY
284,6696,140.55,141.40,141.80,19.17 K,"143,074","137,293","187,909","146,100",141.65,141.05,141.65,"487,574","653,884","753,059","783,335",,,,,Lakshmi Vilas Bank Ltd.,BANKS - PRIVATE SECTOR
285,3417,1361.55,1358.80,1371.95,12.39 K,"667,193","300,126","433,779","466,327",1362.00,1360.80,1371.45,"2,127,776","2,500,863","2,500,578","3,008,574",60%,,,40%,Larsen & Toubro Ltd.,INFRASTRUCTURE - GENERAL
286,1001,535.50,537.95,542.70,1539,"15,014","16,326","19,574","18,395",540.80,537.15,543.65,"60,431","106,005","134,888","129,900",,,,,Laurus Labs Ltd.,PHARMACEUTICALS
287,9564,552.60,551.30,562.05,4678,"117,291","148,755","124,645","174,642",552.20,551.85,562.00,"1,239,016","1,774,022","1,538,831","1,276,337",67%,,,33%,LIC Housing Finance Ltd.,FINANCE - HOUSING
288,616,542.00,542.55,537.80,291,"151,190","13,232","9,163","19,515",540.55,541.35,536.35,"44,426","66,581","59,720","87,278",,,,,Linde India Ltd.,CHEMICALS
289,8146,920.25,918.40,923.00,5042,"173,721","208,620","174,679","179,887",925.00,921.05,924.10,"1,343,268","1,738,861","1,903,741","1,333,394",75%,,,25%,Lupin Ltd.,PHARMACEUTICALS
290,7212,760.00,758.70,763.90,6176,"133,684","139,690","265,486","142,854",760.00,759.25,765.40,"2,005,133","1,893,359","3,617,068","1,970,681",100%,,,,Mahindra and Mahindra Ltd.,AUTO - CARS & JEEPS
291,2255,467.05,474.60,469.30,6702,"132,757","107,352","116,856","150,888",474.00,474.40,468.60,"1,913,739","1,257,891","1,456,654","1,247,233",100%,,,,Mahindra & Mahindra Financial Services Ltd.,FINANCE - LEASING & HIRE PURCHASE
292,6089,181.90,177.90,174.00,3619,"19,172","24,892","15,641","28,379",181.00,174.85,174.70,"928,846","197,225","124,721","187,680",,,,,Magma Fincorp Ltd.,FINANCE - LEASING & HIRE PURCHASE
293,1181,1052.95,1052.25,1045.60,1634,"20,790","23,672","18,304","20,838",1052.00,1051.30,1044.85,"307,600","185,581","180,772","162,693",75%,,,25%,Mahanagar Gas Ltd.,REFINERIES
294,6108,238.60,238.60,241.80,8818,"26,319","55,318","255,231","61,009",239.75,238.65,240.85,"150,978","412,884","592,200","461,225",,,,,Mahindra CIE Automotive Ltd.,CASTINGS & FORGINGS
295,2902,369.05,363.65,367.75,1740,"3,284","11,163","10,525","5,588",366.30,364.10,368.50,"19,131","109,669","76,557","56,197",,,,,Mahindra Holidays and Resorts India Ltd.,HOTELS
296,1517,513.00,512.90,529.70,1479,"8,077","25,557","9,866","44,155",519.90,512.15,529.65,"57,607","206,818","95,014","307,749",,,,,Mahindra Lifespace Developers Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
297,28.36 K,117.00,115.65,119.75,23.68 K,"1,319,039","630,867","770,959","598,849",115.60,115.60,119.65,"10,146,477","6,052,919","8,089,161","6,521,650",85%,,,15%,Manappuram Finance Ltd.,FINANCE - LEASING & HIRE PURCHASE
298,444,433.00,429.25,422.10,739,"208,294","33,558","26,070","53,158",437.85,430.35,427.95,"71,396","119,058","252,810","104,888",100%,,,,Manpasand Beverages Ltd.,FOOD PROCESSING
299,4088,309.00,310.75,313.90,5839,"14,213","47,081","30,792","38,544",314.00,311.00,314.10,"488,384","1,043,375","841,306","1,060,942",,,,,Marico Ltd.,PERSONAL CARE
300,92.39 K,44.45,43.95,44.40,83.58 K,"1,051,713","2,561,165","1,315,202","1,803,630",44.25,43.95,44.40,"3,574,926","10,332,270","6,276,663","6,626,360",100%,,,,Marksans Pharma Ltd.,PHARMACEUTICALS
301,3980,9340.00,9359.00,9321.35,1142,"105,772","47,465","103,793","59,554",9325.00,9368.70,9323.95,"542,339","473,149","611,394","502,570",50%,36%,50% buying,14%,Maruti Suzuki India Ltd.,AUTO - CARS & JEEPS
302,2913,553.90,550.35,548.30,1915,"18,474","31,169","96,083","26,896",550.85,549.65,548.40,"434,624","539,694","669,097","519,471",,,,,Max Financial Services Ltd.,FINANCE - INVESTMENTS
303,6378,116.40,119.20,117.45,4721,"49,932","38,804","42,293","17,133",119.00,119.15,117.25,"308,441","579,738","366,765","358,606",33%,,,67%,Max India Ltd.,MISCELLANEOUS
304,7764,181.05,183.45,181.55,2981,"42,970","59,734","68,750","50,920",184.50,183.20,180.65,"411,300","413,787","475,213","286,476",,,,,Mcleod Russel (India) Ltd.,PLANTATIONS - TEA & COFFEE
305,5172,849.00,842.90,837.10,3917,"43,686","78,690","61,527","104,610",837.55,842.95,836.60,"409,607","742,129","594,033","979,703",83%,,,17%,Multi Commodity Exchange of India Ltd.,MISCELLANEOUS
306,389,1295.00,1293.35,1296.90,1182,"5,485","12,098","13,167","11,228",1309.80,1294.65,1291.15,"89,937","87,198","109,988","101,040",,,,,Minda Industries Ltd.,AUTO ANCILLARIES
307,2094,686.00,685.65,701.70,1596,"200,397","89,947","55,677","119,735",685.00,684.15,702.40,"2,401,933","1,482,164","1,022,206","1,933,937",83%,,,17%,Mindtree Ltd.,COMPUTERS - SOFTWARE
308,21.15 K,64.35,64.75,64.20,24.18 K,"288,280","434,137","526,021","386,184",64.85,64.75,64.20,"1,017,824","1,834,221","2,458,802","1,464,695",60%,20%,60% buying,20%,MMTC Ltd.,TRADING
309,11.45 K,242.00,241.40,239.05,9120,"58,017","108,484","107,275","83,482",241.00,241.25,239.40,"442,103","839,304","808,584","632,585",67%,,,33%,MOIL Ltd.,MINING & MINERALS
310,437,2595.00,2539.25,2580.30,156,"1,906","1,560",938,859,2577.10,2540.45,2594.45,"5,583","11,517","8,416","6,297",,,,,Monsanto India Ltd.,PESTICIDES & AGRO CHEMICALS
